Serotype	OPS gene cluster GenBank accession	Comment
O:1A	AF461768	
O:1B	AJ251712	
O:1c	GU120200	
O:2a	AF461770	
O:2b	GU120201	
O:2c	KJ504353	
O:3	KJ504354	
O:4a	KJ504355	
O:4b	AF461769	
O:5a	KJ504356	
O:5b	KJ504357	
O:6	HQ456392	
O:7	HQ456391	
O:8	KM454907	
O:9	AJ539157	Y. similis
O:10	HQ396160	
O:11	FJ798742	
O:12	JX454603	Y. similis
O:13	NA	
O:14	FJ798743	
O:15	AM849474	
