DATASET_IMAGE						
SEPARATOR TAB						
DATASET_LABEL	image					
AFV46143.1	-1	1	0	0	0	
EKK44950.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/695.gif
CAD62220.2	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12130.gif
AHG15271.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1886.gif
BAQ00576.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/3191.gif
BAQ00629.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1512.gif
BAQ00643.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1514.gif
BAQ00660.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1517.gif
BAQ00678.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1524.gif
BAQ00694.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1521.gif
BAQ00712.1	-1	1	0	0	0	
BAQ00743.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1530.gif
BAQ00762.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/736.gif
BAQ00787.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1539.gif
BAQ00801.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1401.gif
BAQ00820.1	-1	1	0	0	0	
BAQ00852.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1544.gif
BAQ00866.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1545.gif
BAQ00886.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1383.gif
BAQ00904.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1548.gif
BAQ00937.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1381.gif
BAQ00949.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1551.gif
BAQ00962.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1554.gif
BAQ00981.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1555.gif
BAQ01000.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1556.gif
BAQ01031.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1558.gif
BAQ01122.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1571.gif
BAQ01144.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1572.gif
BAQ01157.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1574.gif
BAQ01175.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1575.gif
BAQ01224.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1582.gif
BAQ01242.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1452.gif
BAQ01272.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1588.gif
BAQ01285.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1589.gif
BAQ01304.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1590.gif
BAQ01324.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1595.gif
BAQ01366.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1596.gif
BAQ01394.1	-1	1	0	0	0	
BAQ01425.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1600.gif
BAQ01464.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1838.gif
BAQ01501.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1841.gif
BAQ01525.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/733.gif
BAQ01538.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1849.gif
BAQ01571.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1856.gif
BAQ01590.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1860.gif
