DATASET_IMAGE						
SEPARATOR TAB						
DATASET_LABEL	image					
CAI33515.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/7517.gif
CAI33491.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/113889.gif
CAI33610.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/115209.gif
CAI33537.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/31042.gif
CAI33561.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/846.gif
CAI33585.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/9351.gif
CAI33700.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/31513.gif
CAI33631.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/7177.gif
CAI33652.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/21809.gif
CAI33675.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/21810.gif
CAI33718.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1928.gif
CAI33798.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/7520.gif
CAI33862.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/28718.gif
CAI33840.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12222.gif
CAI34008.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/112167.gif
CAI34080.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1227.gif
CAI34099.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/113903.gif
CAI34150.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/848.gif
CAI34124.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/918.gif
CAI34254.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/7522.gif
CAI34198.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/105915.gif
CAI34269.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/31063.gif
CAI34286.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1611.gif
CAI34310.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/1609.gif
CAI34388.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/3169.gif
CAI34587.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/107393.gif
ADI59429.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12131.gif
AAN23078.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12135.gif
ADI59445.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12132.gif
AKA20935.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12128.gif
AKA20948.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12133.gif
AKA20966.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12129.gif
AAN23057.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12136.gif
AKA20981.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12125.gif
AKA20999.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12126.gif
AEP25500.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12139.gif
AEP25477.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12138.gif
CDF66396.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12130.gif
ADX97403.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12137.gif
ACV52983.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12124.gif
AFV46136.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/11921_small.gif
CAX18360.1	-1	1	0	0	0	https://raw.githubusercontent.com/idameitil/wzy_polymerases/main/csdb/snfg/3/12127.gif
